assignDate,assignmentType,averageScore,courseId,createdAt,description,dueDate,id,lateRate,maxAttempts,maxScore,moduleId,name,submissionRate,updatedAt,weight
2024-09-02T00:00:00,Project,75.2304347826087,CRS430230,2025-09-24T16:49:39.734144,פרויקט זה מאפשר יישום מעשי של המושגים שנלמדו. This project focuses on Project - אלגברה Fundamentals Concepts.,2024-09-08T00:00:00,ASG525213,4.3478260869565215,,100.0,MOD517327,Project - אלגברה Fundamentals Concepts,23,2025-09-24T16:49:39.771314,0.25
2024-09-03T00:00:00,Exam,76.76071428571429,CRS430230,2025-09-24T16:49:39.734144,מבחן מקיף הכולל את כל הנושאים המרכזיים במודול זה. This exam focuses on Exam - אלגברה Fundamentals Concepts.,2024-09-07T00:00:00,ASG244784,3.571428571428571,2,100.0,MOD517327,Exam - אלגברה Fundamentals Concepts,28,2025-09-24T16:49:39.773319,0.3
2024-09-15T00:00:00,Homework,74.95925925925927,CRS430230,2025-09-24T16:49:39.734144,השלם את התרגילים הללו כדי לחזק את הבנתך. This homework focuses on אלגברה Fundamentals Homework 1.,2024-09-20T00:00:00,ASG400832,3.7037037037037033,3,100.0,MOD543024,אלגברה Fundamentals Homework 1,27,2025-09-24T16:49:39.773319,0.2
2024-09-24T00:00:00,Exam,74.76428571428572,CRS430230,2025-09-24T16:49:39.734144,מבחן זה בודק את הבנתך הכוללת של החומר. This exam focuses on אלגברה Project Exam 1.,2024-09-30T00:00:00,ASG644774,0.0,3,100.0,MOD006571,אלגברה Project Exam 1,28,2025-09-24T16:49:39.773319,0.3
2024-09-24T00:00:00,Exam,74.68461538461538,CRS430230,2025-09-24T16:49:39.734144,מבחן מקיף הכולל את כל הנושאים המרכזיים במודול זה. This exam focuses on אלגברה Project Assessment 2.,2024-09-30T00:00:00,ASG770482,0.0,3,100.0,MOD006571,אלגברה Project Assessment 2,26,2025-09-24T16:49:39.773319,0.3
2024-10-03T00:00:00,Project,76.31153846153846,CRS430230,2025-09-24T16:49:39.734144,פַּתֵּחַ פרויקט שמדגים את הבנתך של החומר הנלמד. This project focuses on Project on Theory in אלגברה.,2024-10-08T00:00:00,ASG938132,7.6923076923076925,,100.0,MOD345410,Project on Theory in אלגברה,26,2025-09-24T16:49:39.773319,0.25
2024-10-12T00:00:00,Project,77.02916666666665,CRS430230,2025-09-24T16:49:39.734144,צור פתרון מקיף שמציג את כישוריך. This project focuses on Project on Practice.,2024-10-17T00:00:00,ASG611689,16.666666666666664,,100.0,MOD986258,Project on Practice,24,2025-09-24T16:49:39.773319,0.25
2024-10-12T00:00:00,Homework,76.164,CRS430230,2025-09-24T16:49:39.734144,השלם את התרגילים הללו כדי לחזק את הבנתך. This homework focuses on Homework - Practice Concepts.,2024-10-18T00:00:00,ASG447003,12.0,1,100.0,MOD986258,Homework - Practice Concepts,25,2025-09-24T16:49:39.773319,0.2
2024-10-21T00:00:00,Exam,77.54347826086956,CRS430230,2025-09-24T16:49:39.734144,מבחן זה בודק את הבנתך הכוללת של החומר. This exam focuses on אלגברה Discussion.,2024-10-29T00:00:00,ASG382587,0.0,1,100.0,MOD909075,Exam 1: אלגברה Discussion,23,2025-09-24T16:49:39.773319,0.3
2024-10-22T00:00:00,Exam,76.87727272727273,CRS430230,2025-09-24T16:49:39.734144,מבחן זה בודק את הבנתך הכוללת של החומר. This exam focuses on Exam on אלגברה Discussion.,2024-10-30T00:00:00,ASG399228,0.0,1,100.0,MOD909075,Exam on אלגברה Discussion,22,2025-09-24T16:49:39.773319,0.3
2024-11-04T00:00:00,Homework,85.22,CRS430230,2025-09-24T16:49:39.734144,השתמש במה שלמדת כדי לפתור את הבעיות הללו. This homework focuses on Homework - Research Concepts.,2024-11-10T00:00:00,ASG486881,0.0,4,100.0,MOD700031,Homework - Research Concepts,5,2025-09-24T16:49:39.771314,0.2
2024-11-05T00:00:00,Project,86.425,CRS430230,2025-09-24T16:49:39.734144,פרויקט זה מאפשר יישום מעשי של המושגים שנלמדו. This project focuses on Research Assessment 2.,2024-11-08T00:00:00,ASG976589,25.0,,100.0,MOD700031,Research Assessment 2,4,2025-09-24T16:49:39.771314,0.25
2024-11-14T00:00:00,Project,0.0,CRS430230,2025-09-24T16:49:39.734144,צור פתרון מקיף שמציג את כישוריך. This project focuses on Project - Practice Concepts.,2024-11-19T00:00:00,ASG606210,0.0,,100.0,MOD192486,Project - Practice Concepts,0,2025-09-24T16:49:39.734144,0.25
