assignmentId,courseId,createdAt,id,isAvailable,moduleId,status,studentId,updatedAt
ASG399228,CRS430230,2025-09-24T16:49:39.785069,fa_954f7074,False,MOD909075,future,925707456,2025-09-24T16:49:39.785069
ASG486881,CRS430230,2025-09-24T16:49:39.785069,fa_2c309b6a,False,MOD700031,future,925707456,2025-09-24T16:49:39.785069
ASG976589,CRS430230,2025-09-24T16:49:39.785069,fa_e0ca9047,False,MOD700031,future,925707456,2025-09-24T16:49:39.785069
ASG606210,CRS430230,2025-09-24T16:49:39.785069,fa_facbb2ae,False,MOD192486,future,925707456,2025-09-24T16:49:39.785069
ASG613485,CRS430230,2025-09-24T16:49:39.785069,fa_5dfc6d6d,False,MOD369841,future,925707456,2025-09-24T16:49:39.785069
ASG534715,CRS430230,2025-09-24T16:49:39.785069,fa_866d0782,False,MOD369841,future,925707456,2025-09-24T16:49:39.785069
ASG527103,CRS430230,2025-09-24T16:49:39.785069,fa_fbd958cb,False,MOD405876,future,925707456,2025-09-24T16:49:39.785069
ASG442700,CRS430230,2025-09-24T16:49:39.785069,fa_bd8c646d,False,MOD405876,future,925707456,2025-09-24T16:49:39.785069
ASG517019,CRS430230,2025-09-24T16:49:39.785069,fa_0a077d5f,False,MOD975016,future,925707456,2025-09-24T16:49:39.785069
ASG273230,CRS430230,2025-09-24T16:49:39.785069,fa_a564fa3c,False,MOD016077,future,925707456,2025-09-24T16:49:39.785069
ASG055313,CRS430230,2025-09-24T16:49:39.785069,fa_147e5d8b,False,MOD635821,future,925707456,2025-09-24T16:49:39.785069
ASG329057,CRS446141,2025-09-24T16:49:39.785069,fa_9b2060cf,False,MOD210995,future,925707456,2025-09-24T16:49:39.785069
ASG284784,CRS446141,2025-09-24T16:49:39.785069,fa_9589ecfc,False,MOD210995,future,925707456,2025-09-24T16:49:39.785069
ASG009429,CRS446141,2025-09-24T16:49:39.785069,fa_465c0f4c,False,MOD874307,future,925707456,2025-09-24T16:49:39.785069
ASG687550,CRS446141,2025-09-24T16:49:39.785069,fa_7d1347ad,False,MOD874307,future,925707456,2025-09-24T16:49:39.785069
ASG628091,CRS446141,2025-09-24T16:49:39.785069,fa_40afc110,False,MOD735642,future,925707456,2025-09-24T16:49:39.785069
ASG200193,CRS446141,2025-09-24T16:49:39.785069,fa_6f1824a1,False,MOD373068,future,925707456,2025-09-24T16:49:39.785069
ASG432376,CRS446141,2025-09-24T16:49:39.785069,fa_8a7fe397,False,MOD373068,future,925707456,2025-09-24T16:49:39.785069
ASG765867,CRS446141,2025-09-24T16:49:39.785069,fa_9b9ecf6f,False,MOD532943,future,925707456,2025-09-24T16:49:39.785069
ASG609768,CRS446141,2025-09-24T16:49:39.785069,fa_81995ee8,False,MOD532943,future,925707456,2025-09-24T16:49:39.785069
ASG914539,CRS446141,2025-09-24T16:49:39.785069,fa_fe99b03f,False,MOD666036,future,925707456,2025-09-24T16:49:39.785069
ASG424151,CRS446141,2025-09-24T16:49:39.785069,fa_69c9c402,False,MOD666036,future,925707456,2025-09-24T16:49:39.785069
ASG528951,CRS446141,2025-09-24T16:49:39.785069,fa_80970874,False,MOD450429,future,925707456,2025-09-24T16:49:39.785069
ASG429405,CRS446141,2025-09-24T16:49:39.785069,fa_da0c3962,False,MOD450429,future,925707456,2025-09-24T16:49:39.785069
ASG488161,CRS446141,2025-09-24T16:49:39.785069,fa_6e6cb517,False,MOD413247,future,925707456,2025-09-24T16:49:39.785069
ASG367080,CRS446141,2025-09-24T16:49:39.785069,fa_88b5e8a6,False,MOD413247,future,925707456,2025-09-24T16:49:39.785069
ASG852991,CRS446141,2025-09-24T16:49:39.785069,fa_3f34a0a0,False,MOD682512,future,925707456,2025-09-24T16:49:39.785069
ASG993493,CRS446141,2025-09-24T16:49:39.785069,fa_61a82d3c,False,MOD682512,future,925707456,2025-09-24T16:49:39.785069
ASG365489,CRS446141,2025-09-24T16:49:39.785069,fa_043b641e,False,MOD330967,future,925707456,2025-09-24T16:49:39.785069
ASG102439,CRS446141,2025-09-24T16:49:39.785069,fa_a6abe659,False,MOD330967,future,925707456,2025-09-24T16:49:39.785069
ASG268002,CRS261592,2025-09-24T16:49:39.785069,fa_56905a96,False,MOD444415,future,925707456,2025-09-24T16:49:39.785069
ASG263927,CRS261592,2025-09-24T16:49:39.785069,fa_01f3a1ae,False,MOD922432,future,925707456,2025-09-24T16:49:39.785069
ASG505574,CRS261592,2025-09-24T16:49:39.787071,fa_aceb75fc,False,MOD955420,future,925707456,2025-09-24T16:49:39.787071
ASG756236,CRS261592,2025-09-24T16:49:39.787071,fa_671f763c,False,MOD955420,future,925707456,2025-09-24T16:49:39.787071
ASG394130,CRS261592,2025-09-24T16:49:39.787071,fa_8a1e8767,False,MOD895159,future,925707456,2025-09-24T16:49:39.787071
ASG595646,CRS261592,2025-09-24T16:49:39.787071,fa_0b373960,False,MOD383486,future,925707456,2025-09-24T16:49:39.787071
ASG037975,CRS261592,2025-09-24T16:49:39.787071,fa_7ef34c87,False,MOD383486,future,925707456,2025-09-24T16:49:39.787071
ASG871008,CRS831057,2025-09-24T16:49:39.787071,fa_b7008bc8,False,MOD616746,future,925707456,2025-09-24T16:49:39.787071
ASG857855,CRS831057,2025-09-24T16:49:39.787071,fa_d96c503e,False,MOD228517,future,925707456,2025-09-24T16:49:39.787071
ASG753549,CRS831057,2025-09-24T16:49:39.787071,fa_0df9e464,False,MOD228517,future,925707456,2025-09-24T16:49:39.787071
