assignments,courseId,createdAt,description,durationDays,endDate,id,name,required,sequenceNumber,startDate,subject,updatedAt
"[""ASG525213"", ""ASG244784""]",CRS430230,2025-09-24T16:49:39.734144,מודול מבוסס-דיון זה מקדם חשיבה ביקורתית וניתוח. בשיעור הזה נעבור על: אלגברה Fundamentals.,10,2024-09-11T00:00:00,MOD517327,Discussion 1: אלגברה Fundamentals,True,1,2024-09-01T00:00:00,חינוך גופני,2025-09-24T16:49:39.734144
"[""ASG400832""]",CRS430230,2025-09-24T16:49:39.734144,השתתף בדיונים מעמיקים בנושאים חשובים בתחום. בשיעור הזה נעבור על: אלגברה Fundamentals.,11,2024-09-23T00:00:00,MOD543024,Discussion 2: אלגברה Fundamentals,True,2,2024-09-12T00:00:00,חינוך גופני,2025-09-24T16:49:39.734144
"[""ASG644774"", ""ASG770482""]",CRS430230,2025-09-24T16:49:39.734144,עבוד על פרויקט מקיף כדי לחזק את ההבנה. בשיעור הזה נעבור על: אלגברה Project.,7,2024-10-01T00:00:00,MOD006571,Module 3: אלגברה Project,True,3,2024-09-24T00:00:00,חינוך גופני,2025-09-24T16:49:39.734144
"[""ASG938132""]",CRS430230,2025-09-24T16:49:39.734144,התלמידים ילמדו את המושגים והעקרונות המרכזיים. בשיעור הזה נעבור על: Theory in אלגברה.,7,2024-10-09T00:00:00,MOD345410,Unit 4: Theory in אלגברה,True,4,2024-10-02T00:00:00,חינוך גופני,2025-09-24T16:49:39.734144
"[""ASG611689"", ""ASG447003""]",CRS430230,2025-09-24T16:49:39.734144,מודול מעשי זה מתמקד בפיתוח כישורים יישומיים. בשיעור הזה נעבור על: אלגברה Practice - Part 5.,10,2024-10-20T00:00:00,MOD986258,אלגברה Practice - Part 5,True,5,2024-10-10T00:00:00,חינוך גופני,2025-09-24T16:49:39.734144
"[""ASG382587"", ""ASG399228""]",CRS430230,2025-09-24T16:49:39.734144,קח חלק בדיונים מובנים להעמקת ההבנה. בשיעור הזה נעבור על: אלגברה Discussion.,11,2024-11-01T00:00:00,MOD909075,Module 6: אלגברה Discussion,True,6,2024-10-21T00:00:00,חינוך גופני,2025-09-24T16:49:39.734144
"[""ASG486881"", ""ASG976589""]",CRS430230,2025-09-24T16:49:39.734144,מודול זה מתמקד בשיטות מחקר וביישומן. בשיעור הזה נעבור על: אלגברה Research - Part 7.,9,2024-11-11T00:00:00,MOD700031,אלגברה Research - Part 7,True,7,2024-11-02T00:00:00,חינוך גופני,2025-09-24T16:49:39.734144
"[""ASG606210""]",CRS430230,2025-09-24T16:49:39.734144,מודול מעשי זה מתמקד בפיתוח כישורים יישומיים. בשיעור הזה נעבור על: אלגברה Practice - Part 8.,11,2024-11-23T00:00:00,MOD192486,אלגברה Practice - Part 8,False,8,2024-11-12T00:00:00,חינוך גופני,2025-09-24T16:49:39.734144
"[""ASG613485"", ""ASG534715""]",CRS430230,2025-09-24T16:49:39.734144,חקור מושגים מתקדמים דרך פעילויות מחקר מונחות. בשיעור הזה נעבור על: אלגברה Fundamentals.,8,2024-12-02T00:00:00,MOD369841,Research 9: אלגברה Fundamentals,True,9,2024-11-24T00:00:00,חינוך גופני,2025-09-24T16:49:39.734144
"[""ASG527103"", ""ASG442700""]",CRS430230,2025-09-24T16:49:39.734144,השתתף בדיונים מעמיקים בנושאים חשובים בתחום. בשיעור הזה נעבור על: אלגברה Discussion.,7,2024-12-10T00:00:00,MOD405876,Module 10: אלגברה Discussion,True,10,2024-12-03T00:00:00,חינוך גופני,2025-09-24T16:49:39.734144
"[""ASG517019""]",CRS430230,2025-09-24T16:49:39.734144,מודול זה מתמקד בשיטות מחקר וביישומן. בשיעור הזה נעבור על: אלגברה Research - Part 11.,11,2024-12-22T00:00:00,MOD975016,אלגברה Research - Part 11,True,11,2024-12-11T00:00:00,חינוך גופני,2025-09-24T16:49:39.734144
"[""ASG273230""]",CRS430230,2025-09-24T16:49:39.734144,עבוד על פרויקט מקיף כדי לחזק את ההבנה. בשיעור הזה נעבור על: אלגברה Project - Part 12.,10,2025-01-02T00:00:00,MOD016077,אלגברה Project - Part 12,False,12,2024-12-23T00:00:00,חינוך גופני,2025-09-24T16:49:39.734144
"[""ASG055313""]",CRS430230,2025-09-24T16:49:39.734144,השתתף בדיונים מעמיקים בנושאים חשובים בתחום. בשיעור הזה נעבור על: אלגברה Discussion.,9,2025-01-12T00:00:00,MOD635821,Module 13: אלגברה Discussion,True,13,2025-01-03T00:00:00,חינוך גופני,2025-09-24T16:49:39.734144
"[""ASG329057"", ""ASG284784""]",CRS446141,2025-09-24T16:49:39.734144,עבוד על פרויקט מקיף כדי לחזק את ההבנה. בשיעור הזה נעבור על: אלגברה Fundamentals.,7,2025-02-17T00:00:00,MOD210995,Project 1: אלגברה Fundamentals,True,1,2025-02-10T00:00:00,ספרות,2025-09-24T16:49:39.734144
"[""ASG009429"", ""ASG687550""]",CRS446141,2025-09-24T16:49:39.734144,בצע מחקר בנושאים הקשורים לחומר הקורס. בשיעור הזה נעבור על: Research in אלגברה.,8,2025-02-26T00:00:00,MOD874307,Unit 2: Research in אלגברה,True,2,2025-02-18T00:00:00,ספרות,2025-09-24T16:49:39.734144
"[""ASG628091""]",CRS446141,2025-09-24T16:49:39.734144,קח חלק בדיונים מובנים להעמקת ההבנה. בשיעור הזה נעבור על: Discussion Applications.,7,2025-03-06T00:00:00,MOD735642,אלגברה 3: Discussion Applications,True,3,2025-02-27T00:00:00,ספרות,2025-09-24T16:49:39.734144
"[""ASG200193"", ""ASG432376""]",CRS446141,2025-09-24T16:49:39.734144,פַּתֵּחַ והשלם פרויקט שמדגים שליטה במושגים המרכזיים. בשיעור הזה נעבור על: אלגברה Project.,7,2025-03-14T00:00:00,MOD373068,Module 4: אלגברה Project,True,4,2025-03-07T00:00:00,ספרות,2025-09-24T16:49:39.734144
"[""ASG765867"", ""ASG609768""]",CRS446141,2025-09-24T16:49:39.734144,מודול זה מתמקד בשיטות מחקר וביישומן. בשיעור הזה נעבור על: Research Applications.,7,2025-03-22T00:00:00,MOD532943,אלגברה 5: Research Applications,True,5,2025-03-15T00:00:00,ספרות,2025-09-24T16:49:39.734144
"[""ASG914539"", ""ASG424151""]",CRS446141,2025-09-24T16:49:39.734144,קח חלק בדיונים מובנים להעמקת ההבנה. בשיעור הזה נעבור על: אלגברה Fundamentals.,7,2025-03-30T00:00:00,MOD666036,Discussion 6: אלגברה Fundamentals,True,6,2025-03-23T00:00:00,ספרות,2025-09-24T16:49:39.734144
"[""ASG528951"", ""ASG429405""]",CRS446141,2025-09-24T16:49:39.734144,מודול מעשי זה מתמקד בפיתוח כישורים יישומיים. בשיעור הזה נעבור על: אלגברה Fundamentals.,8,2025-04-08T00:00:00,MOD450429,Practice 7: אלגברה Fundamentals,True,7,2025-03-31T00:00:00,ספרות,2025-09-24T16:49:39.734144
"[""ASG488161"", ""ASG367080""]",CRS446141,2025-09-24T16:49:39.734144,מודול מעשי זה מתמקד בפיתוח כישורים יישומיים. בשיעור הזה נעבור על: אלגברה Practice - Part 8.,7,2025-04-16T00:00:00,MOD413247,אלגברה Practice - Part 8,True,8,2025-04-09T00:00:00,ספרות,2025-09-24T16:49:39.734144
"[""ASG852991"", ""ASG993493""]",CRS446141,2025-09-24T16:49:39.734144,התלמידים ילמדו את המושגים והעקרונות המרכזיים. בשיעור הזה נעבור על: Theory Applications.,9,2025-04-26T00:00:00,MOD682512,אלגברה 9: Theory Applications,True,9,2025-04-17T00:00:00,ספרות,2025-09-24T16:49:39.734144
