assessmentScore,assignmentId,courseId,createdAt,id,isAvailable,isLate,moduleId,status,studentId,submissionDate,timeSpentMinutes,updatedAt
67.1,ASG525213,CRS430230,2025-09-24T16:49:39.736716,sa_fcbe023d,,False,MOD517327,completed,925707456,2024-09-07T00:00:00,364,2025-09-24T16:49:39.736716
65.6,ASG244784,CRS430230,2025-09-24T16:49:39.736716,sa_ac9808af,,False,MOD517327,completed,925707456,2024-09-04T00:00:00,104,2025-09-24T16:49:39.736716
60.7,ASG400832,CRS430230,2025-09-24T16:49:39.736716,sa_f248ed25,,False,MOD543024,completed,925707456,2024-09-18T00:00:00,120,2025-09-24T16:49:39.736716
60.1,ASG644774,CRS430230,2025-09-24T16:49:39.736716,sa_c8503754,,True,MOD006571,completed,925707456,2024-09-29T00:00:00,210,2025-09-24T16:49:39.736716
69.7,ASG770482,CRS430230,2025-09-24T16:49:39.736716,sa_e54c9b7d,,True,MOD006571,completed,925707456,2024-09-29T00:00:00,206,2025-09-24T16:49:39.736716
70.7,ASG938132,CRS430230,2025-09-24T16:49:39.736716,sa_c593c204,,False,MOD345410,completed,925707456,2024-10-06T00:00:00,372,2025-09-24T16:49:39.736716
69.7,ASG611689,CRS430230,2025-09-24T16:49:39.736716,sa_16b3f19b,,True,MOD986258,completed,925707456,2024-10-21T00:00:00,495,2025-09-24T16:49:39.736716
65.4,ASG447003,CRS430230,2025-09-24T16:49:39.736716,sa_b914a95d,,True,MOD986258,completed,925707456,2024-10-13T00:00:00,123,2025-09-24T16:49:39.736716
64.1,ASG382587,CRS430230,2025-09-24T16:49:39.736716,sa_60536456,,True,MOD909075,completed,925707456,2024-10-22T00:00:00,182,2025-09-24T16:49:39.736716
73.8,ASG727651,CRS831057,2025-09-24T16:49:39.736716,sa_2a359e03,,False,MOD559644,completed,925707456,2024-09-09T00:00:00,71,2025-09-24T16:49:39.736716
72.9,ASG176760,CRS831057,2025-09-24T16:49:39.736716,sa_206466f9,,False,MOD913915,completed,925707456,2024-09-15T00:00:00,59,2025-09-24T16:49:39.736716
